50 75
0 1 4
1 2 3
2 3 5
3 4 2
4 5 6
5 6 3
6 7 4
7 8 2
8 9 5
9 10 3
10 11 4
11 12 2
12 13 5
13 14 3
14 15 4
15 16 2
16 17 5
17 18 3
18 19 4
19 20 2
20 21 5
21 22 3
22 23 4
23 24 2
24 25 5
25 26 3
26 27 4
27 28 2
28 29 5
29 30 3
30 31 4
31 32 2
32 33 5
33 34 3
34 35 4
35 36 2
36 37 5
37 38 3
38 39 4
39 40 2
40 41 5
41 42 3
42 43 4
43 44 2
44 45 5
45 46 3
46 47 4
47 48 2
48 49 5
0 10 3
1 11 4
2 12 2
3 13 5
4 14 3
5 15 4
6 16 2
7 17 5
8 18 3
9 19 4
20 30 2
21 31 5
22 32 3
23 33 4
24 34 2
25 35 5
26 36 3
27 37 4
28 38 2
29 39 5
40 45 3
41 46 4
42 47 2
43 48 3
44 49 4
